11-05-2023	04:18:37 	 57d0b461-207f-4aaa-ab7b-e805bf2fe33d 	 OPTIONS 	 https://www.google.com 	 / 
11-05-2023	04:18:37 	 ef87ff28-afbc-4153-b74f-cfa6f7141f56 	 GET 	 https://www.google.com 	 / 
11-05-2023	04:20:17 	 c79679da-96bf-4559-abbc-ecca17a574f8 	 OPTIONS 	 https://www.google.com 	 / 
11-05-2023	04:20:17 	 a3d9ffb5-7ad6-4401-a4ed-044c0a0550c8 	 GET 	 https://www.google.com 	 / 
11-05-2023	04:20:31 	 0a1c150b-a63e-4ba6-8411-0e85423a77c7 	 OPTIONS 	 https://www.google.com 	 / 
11-05-2023	04:20:31 	 bc5a0bb4-0179-4052-a660-8c3564ee1ec7 	 GET 	 https://www.google.com 	 / 
11-05-2023	04:20:46 	 d2070117-0e09-42a2-8daf-96df30dfc294 	 OPTIONS 	 https://www.google.com 	 / 
11-05-2023	04:20:46 	 40db811e-3032-4df4-a09a-7a3d3b64c9c5 	 GET 	 https://www.google.com 	 / 
11-05-2023	04:20:59 	 d22af30c-b6c2-4066-86ee-302634ca72d3 	 OPTIONS 	 https://www.google.com 	 / 
11-05-2023	04:20:59 	 8955946f-9097-4212-b32b-e3edea33f541 	 GET 	 https://www.google.com 	 / 
11-05-2023	04:21:12 	 fc287bb6-2a50-4de6-b180-73e29f7e68a2 	 GET 	 undefined 	 /new-page.html 
11-05-2023	04:21:12 	 3b240dd0-e10d-4255-99c5-3cf2b7977684 	 GET 	 undefined 	 /css/style.css 
11-05-2023	04:21:12 	 67d74a44-9cb1-47d8-89e3-4a3f6b030837 	 GET 	 undefined 	 /img/img1.jpg 
11-05-2023	04:25:59 	 5cdba7ce-b72c-43f8-a29f-e10a9edc9bdd 	 GET 	 undefined 	 /new-page.html 
11-05-2023	04:25:59 	 28cc8e05-c105-42f8-89ab-c86cfbd00e90 	 GET 	 undefined 	 /css/style.css 
11-05-2023	04:25:59 	 0b6c3cb0-6cc4-4729-bdde-a65963bb5227 	 GET 	 undefined 	 /img/img1.jpg 
11-05-2023	04:26:09 	 60475abb-10e9-45e5-a359-5c72ab68b0a8 	 GET 	 undefined 	 / 
11-05-2023	04:26:09 	 06734aae-83b4-46f6-a3ee-7ba79a821f48 	 GET 	 undefined 	 /css/style.css 
11-05-2023	04:28:27 	 62aff115-8bf1-4ecc-beac-9647945e2193 	 GET 	 undefined 	 / 
11-05-2023	04:28:27 	 f908cfea-7952-4229-b0dd-169045f0dd74 	 GET 	 undefined 	 /css/style.css 
11-05-2023	04:28:27 	 de37856e-81c5-455f-990b-558783838b17 	 GET 	 undefined 	 / 
11-05-2023	04:28:27 	 00a5c6e9-eb88-465b-89c1-969b7a6cff97 	 GET 	 undefined 	 /css/style.css 
11-05-2023	04:28:28 	 9469fdfb-5fa5-4a4a-b613-dd8f5237eab0 	 GET 	 undefined 	 / 
11-05-2023	04:28:28 	 193cd14c-6f20-4f00-8d82-293ea22f8784 	 GET 	 undefined 	 /css/style.css 
11-05-2023	04:28:28 	 57f94102-5c86-4e2b-b896-f326ebb745e8 	 GET 	 undefined 	 / 
11-05-2023	04:28:28 	 873865b4-184d-4e9b-9681-4259bb6d7175 	 GET 	 undefined 	 /css/style.css 
11-05-2023	04:29:26 	 ff98959f-1d8e-42c0-b372-43e1b8a86754 	 GET 	 undefined 	 / 
11-05-2023	04:29:26 	 1d475fa5-60a2-4c16-b325-7784498ed9d9 	 GET 	 undefined 	 /css/style.css 
11-05-2023	04:30:09 	 ca5e7a9d-d84e-43e5-b5c6-39ee60347639 	 GET 	 undefined 	 / 
11-05-2023	04:30:10 	 52c7b7a6-81bd-4549-9054-764e04ec7391 	 GET 	 undefined 	 /css/style.css 
11-05-2023	04:57:00 	 215ea528-e337-4cc0-816c-f6f5465a70e0 	 GET 	 undefined 	 / 
11-05-2023	04:57:31 	 5fddbe49-c92b-4b7d-a78c-e48b47361e56 	 GET 	 undefined 	 /index.html 
11-05-2023	04:58:16 	 fdc62d37-d3e4-4502-909c-fe70c7af96d5 	 GET 	 undefined 	 /index.html 
